index,title,category,description,quiz,solution,added
001,Two Sum,algorithm,Given an array of integers and a target find two numbers that add up to the target,quiz/001.qmd,solution/001.qmd,2026-04-14
002,Best Time to Buy and Sell Stock,algorithm,Given daily stock prices find the maximum profit from one buy and one sell,quiz/002.qmd,solution/002.qmd,2026-04-16
003,Binary Search,algorithm,Given a sorted array and a target find the target index or return -1,quiz/003.qmd,solution/003.qmd,2026-04-17
004,Valid Anagram,algorithm,Given two strings determine whether they contain the same characters with the same counts,quiz/004.qmd,solution/004.qmd,2026-04-20
005,Valid Parentheses,algorithm,Given a string of brackets determine whether every bracket is closed in the correct order,quiz/005.qmd,solution/005.qmd,2026-04-21
006,Merge Two Sorted Lists,algorithm,Given two sorted linked lists merge them into one sorted linked list,quiz/006.qmd,solution/006.qmd,2026-04-22
007,Contains Duplicate,algorithm,Given an array of integers determine whether any value appears at least twice,quiz/007.qmd,solution/007.qmd,2026-04-23
008,Valid Palindrome,algorithm,Given a string determine whether it reads the same forward and backward after removing non-alphanumeric characters and ignoring case,quiz/008.qmd,solution/008.qmd,2026-04-24
009,Maximum Subarray,algorithm,Given an integer array find the contiguous subarray with the largest sum and return that sum,quiz/009.qmd,solution/009.qmd,2026-04-27
010,Move Zeroes,algorithm,Given an integer array move all zeroes to the end while keeping the relative order of non-zero elements,quiz/010.qmd,solution/010.qmd,2026-04-28
011,Climbing Stairs,algorithm,Given a staircase with n steps count how many distinct ways you can climb it when each move is 1 or 2 steps,quiz/011.qmd,solution/011.qmd,2026-04-29
012,First Bad Version,algorithm,Given n product versions and an API that identifies bad versions find the first bad version,quiz/012.qmd,solution/012.qmd,2026-05-05
013,Roman to Integer,algorithm,Given a roman numeral convert it to an integer,quiz/013.qmd,solution/013.qmd,2026-05-06
